glossary_he	citation	match	closest_A_prime_identifier
יום 31 בדצמבר של שנת הלימודים	§ 26(d) 'ביום 31 בדצמבר באותה שנת הלימודים'	NONE	השיבוץ של
שכר של חודש	§ 44(a)(1) 'במשכורת חודש מרץ'; משכורת is the instruments' word for a month's pay	PARTIAL	חודש שכר
תקופת תחולה	section title; 'תחולה' is the instruments' word (§ 26(d) 'ותחול מתחילת שנת הלימודים')	NONE	תקופת תוספת אופק
נספח א׳1 — טבלת השכר למורים בעלי תואר ראשון, קוד דירוג 101	document title 'נספח א׳1 — טבלת השכר למורים בעלי תואר BA (קוד דירוג 101)'	NONE	קוד דירוג
נספח א׳2 — טבלת השכר למורים בעלי תואר שני, קוד דירוג 102	document title 'נספח א׳2 — טבלת השכר למורים בעלי תואר MA (קוד דירוג 102)'	NONE	מקרה 11 — בעל תואר שלישי, טבלת בעלי תואר שני, דרגה 6, ותק 14
דבורה מבקשת דרגה 9	§ 38(f)(3) 'קידום מדרגת 8 לדרגה 9'	NONE	דרגה
דבורה מבקשת דרגה 9 כשיש מקום במכסה	§ 38(i) 'בכפוף לקיומה של מכסה פנויה'	NONE	דרגה
דבורה — מורה בבית ספר יסודי בראש הטבלה	§ 15 'מורה בבית-ספר יסודי'	NONE	בית ספר יסודי
נעה — בעלת תואר שלישי בחצי משרה	§ 36(d) 'מורה בעל תואר שלישי'; § 27 'משרה חלקית'	NONE	בעל תואר שלישי
שיבוץ, ותק וקידום	§ 36 'שיבוץ בטבלאות השכר'; § 37 'ותק בהוראה'; § 38 'קידום בדרגות'	NONE	שיבוץ
קידום, על אותן עובדות	§ 38 'קידום בדרגות'	NONE	בקשת קידום
סעיף 10 להסכם 2022 — הסכומים השקליים המזעריים	2022 § 10 heading 'סכום שקלי מינימלי לגמולי תפקיד'	NONE	הרצפות השקליות — סעיף 10 להסכם מיום 19.10.2022
סעיף 14 — ימי העבודה	§ 14 heading 'ימי עבודה בשבוע'	ALL-WORDS	ימי העבודה בשבוע — סעיף 14
סעיף 17 — שורה אחת בתלוש המשכורת	2026 § 17 'יופיע בשורה אחת בתלוש המשכורת של עובד ההוראה'	NONE	שורה
סעיף 18 — מה שההפחתה אינה נוגעת בו	2026 § 18 heading 'סייג לעניין תשלומים שונים'	NONE	חל סעיף 33(ה)
סעיף 20 — קצובת הביגוד, הפחתה חד פעמית	2026 § 20 heading 'קצובת ביגוד לשנת 2025'; 'תבוצע הפחתה חד פעמית'	NONE	סכום קצובת הביגוד לרמה 4
סעיף 22 להסכם 2022 — גמול תפקיד בית ספרי	2022 § 22 heading 'גמול תפקיד בית ספרי'	NONE	גמול תפקיד
סעיף 26 — שעות גיל	§ 26 heading 'שעות גיל'	ALL-WORDS	שעות גיל — סעיף 26
סעיף 31 — חישוב ערך שעה	§ 31 heading 'חישוב ערך שעה'	PARTIAL	ערך שעה לעניין
סעיף 36 — שיבוץ בכניסה	§ 36 heading 'שיבוץ בטבלאות השכר'	NONE	שיבוץ
סעיף 37 — מה נחשב ותק	§ 37 heading 'ותק בהוראה'	NONE	ותק מוכר — הסכם הבסיס סעיף 37
סעיף 38 — קידום בדרגות	§ 38 heading 'קידום בדרגות'	NONE	חסום מהתקדמות בדרגות לפי סעיף 36(ה)
סעיף 39 — גמולי התפקיד	§ 39 heading 'גמולי תפקיד אשר ימשיכו להתקיים ברפורמה'	PARTIAL	סך גמולי התפקיד
סעיף 5 להסכם 2022 — תוספת אופק 2022	2022 § 5 heading 'תוספת אופק 2022'	PARTIAL	תוספת אופק 2022 — הסכם 19.10.2022 סעיף 5
סעיף 8 — הבסיס הקובע	2026 § 8 '"הבסיס הקובע" — משכורת, למעט כל אחד מאלה'	PARTIAL	הבסיס הקובע במקרה 16
סעיף 9 — השיעורים ושתי התקופות	2026 § 9(a),(b) 'בתקופה שמיום ... בשיעור של'	NONE	התקופות
סעיפים 15 ו-16 — קידום הוותק, שניתן ונשלל בחזרה	2026 § 15 'הכרה בוותק לצורך התקדמות בוותק'; § 16 'תופחת משכורתו בסכום השווה לעליה'	NONE	הוותק
סעיפים 15 ו-17 — מבנה השבוע	§§ 15, 17 'מבנה שבוע העבודה'	NONE	בדיקות מבנה
סעיפים 24 ו-25 — שעת מילוי המקום הנוספת	2026 § 24 'יבצעו עובדי ההוראה שעת הוראה פרונטלית בודדת כממלאי מקום'	NONE	שעת מילוי מקום
סעיפים 27 ו-33 — היקף המשרה המותר	§ 27 'מורה במשרה חלקית'; § 33 'היקף העסקה'	PARTIAL	היקף המשרה
סעיפים 29 ו-30 — השעות המשולמות בנוסף	§ 29 'שעות מילוי מקום'; § 30 'פעילויות בית ספריות'	NONE	שבוע העבודה ושלושת סוגי השעות — סעיפים 14, 15, 17, 18
סעיפים 6 ו-7 — על מי חל ההסכם	2026 § 6 heading 'תחולה'	NONE	הקידום המשלים חל על דרגות 6 עד 8.5 בלבד
ותק בשנות לימודים	section title; § 37 'ותק בהוראה'	NONE	ותק במקרה 14
